Time,Section,Velocity
1135,391,-0.24
1135,392,0.264
1135,399,2.652
1136,337,0.3
1136,338,-0.288
1136,339,0.288
1136,362,9.384
1136,363,9.048
1136,364,10.488
1136,365,5.7
1136,366,6.468
1136,367,5.844
1136,369,10.032
1136,370,10.14
1136,371,4.584
1136,372,5.844
1136,373,5.844
1136,390,-0.24
1136,391,-0.228
1136,392,0.264
1136,399,2.652
1141,337,0.3
1141,338,-0.288
1141,339,0.288
1141,362,9.708
1141,363,9.684
1141,364,9.84
1141,365,0.36
1141,366,6.456
1141,367,5.844
1141,369,11.808
1141,370,9.852
1141,371,4.56
1141,372,5.844
1141,373,5.844
1141,390,-0.324
1141,391,-0.336
1141,392,0.264
1141,399,2.652
1142,337,0.288
1142,338,-0.288
1142,339,0.288
1142,362,9.204
1142,363,9.336
1142,364,10.176
1142,365,7.092
1142,366,6.468
1142,367,5.844
1142,369,10.836
1142,370,10.152
1142,371,4.572
1142,372,5.844
1142,373,5.844
1142,390,-0.264
1142,391,-0.264
1142,392,0.264
1142,399,2.652
1143,337,0.288
1143,338,-0.288
1143,339,0.288
1143,362,9.12
1143,363,9.24
1143,364,10.272
1143,365,6.528
1143,366,6.468
1143,367,5.844
1143,369,10.56
1143,370,10.164
1143,371,4.572
1143,372,5.844
1143,373,5.844
1143,390,-0.264
1143,391,-0.252
1143,392,0.264
1143,399,2.652
1144,337,0.288
1144,338,-0.288
1144,339,0.288
1144,362,9.036
1144,363,9.156
1144,364,10.344
1144,365,6.108
1144,366,6.468
1144,367,5.844
1144,369,10.296
1144,370,10.14
1144,371,4.572
1144,372,5.844
1144,373,5.844
1144,390,-0.252
1144,391,-0.24
1144,392,0.264
1144,399,2.652
1145,337,0.288
1145,338,-0.288
1145,339,0.288
1145,362,8.976
1145,363,9.06
1145,364,10.416
1145,365,5.88
1145,366,6.468
1145,367,5.844
1145,369,10.068
1145,370,10.092
1145,371,4.584
1145,372,5.844
1145,373,5.844
1145,390,-0.24
1145,391,-0.24
1145,392,0.264
1145,399,2.652
1146,337,0.288
1146,338,-0.288
1146,339,0.288
1146,362,8.916
1146,363,8.988
1146,364,10.476
1146,365,5.652
1146,366,6.468
1146,367,5.844
1146,369,9.864
1146,370,10.032
1146,371,4.584
1146,372,5.844
1146,373,5.844
1146,390,-0.24
1146,391,-0.228
1146,392,0.264
1146,399,2.652
1151,337,0.288
1151,338,-0.288
1151,339,0.288
1151,362,9.084
1151,363,9.576
1151,364,9.828
1151,365,0.348
1151,366,6.456
1151,367,5.844
1151,369,11.544
1151,370,9.744
1151,371,4.56
1151,372,5.844
1151,373,5.844
1151,390,-0.312
1151,391,-0.336
1151,392,0.264
1151,399,2.652
1152,337,0.288
1152,338,-0.288
1152,339,0.288
1152,362,8.772
1152,363,9.276
1152,364,10.164
1152,365,6.96
1152,366,6.468
1152,367,5.844
1152,369,10.608
1152,370,10.032
1152,371,4.572
1152,372,5.844
1152,373,5.844
1152,390,-0.264
1152,391,-0.264
1152,392,0.264
1152,399,2.652
1153,337,0.288
1153,338,-0.288
1153,339,0.288
1153,362,8.7
1153,363,9.192
1153,364,10.26
1153,365,6.384
1153,366,6.468
1153,367,5.844
1153,369,10.344
1153,370,10.056
1153,371,4.572
1153,372,5.844
1153,373,5.844
1153,390,-0.264
1153,391,-0.252
1153,392,0.264
1153,399,2.652
1154,337,0.288
1154,338,-0.288
1154,339,0.288
1154,362,8.628
1154,363,9.096
1154,364,10.332
1154,365,6.072
1154,366,6.468
1154,367,5.844
1154,369,10.104
1154,370,10.044
1154,371,4.572
1154,372,5.844
1154,373,5.844
1154,390,-0.252
1154,391,-0.24
1154,392,0.264
1154,399,2.652
1155,337,0.288
1155,338,-0.288
1155,339,0.288
1155,362,8.568
1155,363,9.024
1155,364,10.404
1155,365,5.832
1155,366,6.468
1155,367,5.844
1155,369,9.888
1155,370,9.996
1155,371,4.584
1155,372,5.844
1155,373,5.844
1155,390,-0.24
1155,391,-0.24
1155,392,0.264
1155,399,2.652
1156,337,0.288
1156,338,-0.288
1156,339,0.288
1156,362,8.508
1156,363,8.94
1156,364,10.452
1156,365,5.604
1156,366,6.468
1156,367,5.844
1156,369,9.684
1156,370,9.936
1156,371,4.584
